Month	Day	Year	Title	Assetbar
01	08	2002	Kung Foo	uua838VjX
01	09	2002	Van Practice	uua462rcp
01	10	2002	The dirtiest dudes in town	uua77KMzz
01	11	2002	Chillin' by the window	uuaJKSkfv
01	14	2002	Dirty-talk montage	uuadq87Fx
01	15	2002	At Ray's crib	uua6C0d5m
01	16	2002	Ketel One	uua8SRWjC
01	17	2002	T&eacute;odor's dream	uuabS2B0T
01	18	2002	Cutting Room Floor #1	uuac5mrDS
01	21	2002	Mr. Smuckles is missing	uua8KqqVt
01	22	2002	Brain practice	uuafpWxKB
01	23	2002	The terrible fear	uua6vcbm1
01	24	2002	Man, it was a only vasectomy	uua9FjFhP
01	25	2002	Hey, you're the best!	uua1NMCc5
01	28	2002	We're into education now.	uuacnXTG8
01	29	2002	Philippe's mom phones	uuadrFDLM
01	30	2002	Political cartoonists are all hacks	uuag5KLNh
01	31	2002	Ray's problem in the kitchen	uuad8sV3l
02	01	2002	Todd's natural enemy	uua7hXRJS
02	04	2002	french fry	uuag3Ccf3
02	05	2002	french fry - big dreams	uua10z8XM
02	06	2002	french fry - more dreams	uua8FGh8B
02	07	2002	french fry - new pants	uua6kjGQ1
02	08	2002	french fry - aid	uua64pqH8
02	11	2002	Color Monday!	uua5lfrQb
02	12	2002	Ordering pizza in English	uuaf8QxMb
02	13	2002	Pork Chops	uua798dsb
02	14	2002	Today was a re-run.	uua5PSRgr
02	15	2002	An ad	uuadks6xz
02	19	2002	Lie Bot: Civic Infrastructure	uua2TDgVj
02	20	2002	eBay shopper: Let's Slam!	uua2QMf0W
02	21	2002	Neatest person in Heaven	uuafFprcJ
02	22	2002	Who will yell at God	uuaKc7Pc4
02	25	2002	Lie Bot in the garage	uua1Zjqtw
02	26	2002	...Boned?	uuacqwZDw
02	27	2002	Pat is mad with Ray	uua3P54ZH
02	28	2002	Lyle is not impressed with Todd's saxophone music	uua6GX5Pw
03	01	2002	Tina's Birthday	uuacLgWcc
03	04	2002	Todd's theft from Ray	uuacQCqfM
03	05	2002	A glimpse inside Ray's Place	uua9pQfg6
03	06	2002	A fee!	uua5KQGg5
03	07	2002	Todd's theft / the baby clothes	uua6npfDJ
03	08	2002	Hell Yes I'm telling you about some Latin shit!	uuacXwjQ8
03	11	2002	Is it a lie? Or is it an ass?	uuafFssrS
03	12	2002	The Party: Day I	uuabhB9Mg
03	13	2002	The Party: Day II	uua2n9zl9
03	14	2002	The Party: Day III	uuadRlt9Z
03	15	2002	The Party: Day IV	uuaRPwmDV
03	18	2002	The Party: Day V	uuaccGbxc
03	19	2002	The Party: Day VI	uua4mDLg4
03	20	2002	The Party: Day VII	uua9pvmV7
03	21	2002	The Party: Day VIII	uuad5XPMV
03	22	2002	The Party: Day IX	uua2NT7T9
03	25	2002	The Party: Day X	uua1SDCBB
03	26	2002	The Party: Day XI	uuadrLc7N
03	27	2002	The Party: Day XII: Names	uua5gD0JT
03	28	2002	The Party: Day XIII: Dancing	uua7782zR
03	29	2002	The Party: Day XIV: Lie Bot's Friends	uua6v609v
04	01	2002	The Party: Day XV	uua3xfWfj
04	02	2002	The Party: Day XVI: Vlad	uua1xGH07
04	03	2002	The Party: Day XVII: Hope Springs Eternal	uua9tWn6t
04	04	2002	The Party: Day XVIII: Little Nephew	uuadDxRsG
04	05	2002	The Party: Day XIX: Chucklebot News	uuak9DqPX
04	08	2002	The Party: Day XX: man-to-man	uuaklQlkh
04	09	2002	The Party: Day XXI: Things are coming to a head	uua8hrlJg
04	10	2002	The Party: Day XXII: No is Philippe. Is Vlad.	uua2Kkx4T
04	11	2002	Until you are SO nude	uua5BfXWm
04	12	2002	The Party: Day XXIV: Blood Beagle	uua8zs776
04	15	2002	The Party: Day XXV: Todd is Faded	uuaf6pbDG
04	16	2002	The Party: Day XXVI: Closing up	uuabfxDqJ
04	17	2002	NO MORE PARTY NOW ONLY HANGOVER	uuadTNHfs
04	18	2002	Yelling at Ray	uua5Z9w0q
04	19	2002	Tapes from Philippe's Mom	uuac6S5pf
04	22	2002	Roast Beef's Birthday	uuadQg94v
04	23	2002	Kicking the Basketball	uuadlncDC
04	24	2002	Ray and the Motorcycle	uuaXkcMGG
04	25	2002	En Espanol	uua51j334
04	26	2002	Auf Deutsch	uuabJ20cm
04	29	2002	Todd's License Plate Frame	uua75VBLx
05	01	2002	Shove it!	uua5Swf09
05	02	2002	A Lie Bot strip	uua81xwGX
05	03	2002	Chatting with a friend	uua68FlCh
05	06	2002	Sports News	uua5sRcB1
05	07	2002	Breakfast in Bed	uuafk9mR1
05	08	2002	Computer Programming	uuag5lPmK
05	09	2002	The Startup Company: Day II	uua25VsBG
05	10	2002	The Startup Company: cold-calls	uuacgP4SS
05	13	2002	The GUI	uua9d6dM7
05	14	2002	Ray as the unwitting QA director	uuafD5cJ1
05	15	2002	Workplace tendencies	uuaTBz85G
05	16	2002	Porno	uuadr9CbD
05	17	2002	No Porno! Wait. Some Porno.	uua398RwN
05	20	2002	In Debt	uua87Qhrs
05	21	2002	Only one way out...	uuafz7JVt
05	22	2002	Who the hell is that	uuafQCjcL
05	23	2002	We'll answer that question tomorrow	uua2J2hm1
05	28	2002	Lyle's new video game	uua3gWmGt
05	29	2002	The Making Of	uua4xJPTb
05	30	2002	If I Owned a Bottle	uuacDZlpn
05	31	2002	Follow Me	uua6QN39P
06	03	2002	Your teeth seem sharp	uua49nmN7
06	04	2002	Pat's Hat	uua1wPrLX
06	05	2002	EVERYONE HAT	uua88Hl8K
06	06	2002	Bad Chimichangas	uua8Qxrn6
06	07	2002	Hat week draws to a close	uua5bRX7t
06	10	2002	Philippe's New Shoes	uuag7l9q9
06	11	2002	Roast Beef is Handsome	uua1bHrqd
06	12	2002	Many Opinions on Water	uua2wt8rK
06	13	2002	Geometry	uua5wS8fQ
06	14	2002	Birthday party for Onstad	uua1MfV3m
06	17	2002	Ray's Brew Pub	uuaknCNcV
06	20	2002	The Rocket Ship	uua4Zq4Wn
06	21	2002	Approaching Moon	uua4HGCPK
06	24	2002	Approaching Moon even closer	uuabx6Ncr
06	25	2002	Roast Beef on the Moon	uuagcfzQm
06	26	2002	Roast Beef Sometimes	uua4GwrhV
06	27	2002	Ray's Soliloquy	uua8fmmdd
06	28	2002	A simple question of rad	uua2211Cn
07	08	2002	Deep Space Transmission	uua8xZg1J
07	09	2002	Maybe this scheme?	uua14CQF0
07	10	2002	Sandwich Humour	uuadwpGHV
07	11	2002	I saw your junk and liked it	uua6hs6sw
07	12	2002	Re-install the app in Safe Mode	uua5z0nbS
07	15	2002	Book Week Begins!	uua4rWKNw
07	17	2002	Two strips today! Both with Vlad.	uua4zjGwV
07	18	2002	Variation on a special theme	uua6P7HVq
07	22	2002	Book Week Continues!	uuafKFtFn
07	23	2002	Now what's with all this Billy Idol	uuac4Pppc
07	24	2002	You can't just call it a bicycle	uua65z1np
07	26	2002	DID YOU THINK I'D STOP AT "RAD CHILIES?"	uua2GFl05
07	29	2002	Meeting Tina	uua7lfd05
08	01	2002	There Is Always Something There/It's My Mom	uua2b43F3
08	02	2002	Thick As A Brick	uua1csZ7j
08	05	2002	Cussing redux	uuab49FsD
08	06	2002	College #	uuadThCRn
08	07	2002	I actually got one of these between some pancakes once	uua4ckzpX
08	08	2002	Someone at the door II	uua8sr46g
08	09	2002	Letters from the Earth	uua7GFC3J
08	12	2002	The Self-Dramatic Otter	uua6W9ctk
08	13	2002	More Frenchin'	uua1qMs1m
08	14	2002	Philippe's Nightmare Night	uua1PbWsk
08	15	2002	Wakin' up with Chucklebot	uua5TJKdn
08	16	2002	cyber punk	uua2p4n9J
08	19	2002	I am wissin'	uuaf83X2l
08	20	2002	The "Walk the Walk, Talk the Talk" Guidebook Series	uuaRKk5lt
08	21	2002	Captain Beefheart Flashes Back	uua78FRnq
08	22	2002	Walk the Walk, Talk the Talk day II	uua24SHQ8
08	23	2002	Really stepping in shit with the Guidebook	uua55xZHh
09	09	2002	We lookin' at hella porno	uua7sTkzr
09	10	2002	The Materials We Discussed	uua1srlD4
09	11	2002	You just gonna lie to me	uuacVwg3J
09	12	2002	Cheers	uua3HgMq1
09	13	2002	Beef gets bent	uuaVlpMjW
09	16	2002	Gunshy	uua5WRCH6
09	17	2002	Out of the O.R.	uua53S4Wp
09	18	2002	Consoled by Philippe	uua9hPCRC
09	19	2002	Under Philippe's Wing	uuaS6kwsq
09	20	2002	ALL U WANT	uua8pjHs3
09	23	2002	Code Levels of Dating Beef	uua6SXh3F
09	25	2002	Heated Up Mary	uua8PgB8F
09	26	2002	Self-Tempering Fat	uua7Lwvfh
09	27	2002	Ray cuts own hand	uua2LSzsk
09	30	2002	Fonts	uua4ZQNH5
10	01	2002	The Ad Agency, Day 2	uua3pkM5R
10	02	2002	Flower Lesson	uua1PvPf3
10	03	2002	Aberlour	uua7JPgP1
10	04	2002	Pat Reynolds	uua9PG1Mg
10	07	2002	Philippe and the Flower	uuagdCM4x
10	08	2002	Bachelor Party	uua3w4nwb
10	09	2002	The Todd Account - a Setback	uua8NNT2w
10	10	2002	Philippe's Wedding Day	uuad2Dl37
10	11	2002	The Terrible Cycle	uua2vmrbv
10	14	2002	Cost cutting	uuaKKcc9t
10	15	2002	'Til death do us part	uua3v51wX
10	16	2002	Why Didn't You Come Into Work Today	uua579gwp
10	18	2002	Sangria	uuab5s3ZL
10	21	2002	Jeopardy!	uua1PcRLC
10	22	2002	Impulsive Shirt Orderer	uua1Bd269
10	23	2002	Chinese Water Torture	uuacj0Mrm
10	24	2002	Eye trick	uua9pnb6q
10	25	2002	Boston Market	uua4WHK01
10	28	2002	Package for Philippe!	uua7bl81f
10	29	2002	Cop Chat	uua7fJHz2
10	31	2002	ULTRA PEANUT	uuad9VShl
11	01	2002	what the HELL ultra peanut	uuafdbTmf
11	04	2002	Ray and the Piano	uuacB4NPH
11	05	2002	Piano Prodigy	uua5XF57G
11	06	2002	The Demo And The Damage Done	uuadpkGWT
11	07	2002	Record Contract	uuafCRpnS
11	08	2002	In Ray's Shadow	uua1Z04ZM
11	11	2002	With Ultra Peanut	uuag2F5R3
11	12	2002	Todd's Gift of Hi-Five	uua7bFG9L
11	14	2002	Ray's Music Video	uuadjJQsf
11	15	2002	Beef's Video Rewrite	uua4ZSX4X
11	18	2002	ASS IN YOUR PANTS	uua794qHH
11	19	2002	Skyrocketing up the charts	uuag81dq1
11	20	2002	The Sony AIBO	uua4hkLr2
11	21	2002	Going Multi-Platinum	uua83FwdT
11	22	2002	Party For Ray	uuacnNCSN
11	25	2002	'65 Ford Galaxie	uuacKcSkx
11	26	2002	HELLO AMERICA	uua43Dp72
11	27	2002	Stand on it Agnes	uua9swhfN
12	02	2002	Beef's Real Name	uua7TfDTB
12	04	2002	Click Robot	uuaRl8rcr
12	05	2002	You Make Me Do It In My Pants :(	uua9j4zh1
12	09	2002	The Peppermint Honcho	uuacfbjkr
12	10	2002	Coconut Rum	uua19dHl0
12	11	2002	McDonald's / Dancin' Santa	uua4jSNLk
12	13	2002	Camping	uua5gXvJL
12	16	2002	Haunches	uua24d8xM
12	17	2002	DISK ONE OF SIX	uuackBHv8
12	19	2002	Dirty Bills	uua8KqMwZ
12	20	2002	Showbiz	uuadVlZxx
12	23	2002	JOE STRUMMER HAS DIED	uuafp5mq0
12	24	2002	Christmas Eve with Ray	uua9v05pZ
12	30	2002	Catching Up With Showbiz	uua5XbKBb
12	31	2002	Madison	uua9DgSlX
01	02	2003	Subway	uua5nZ24W
01	03	2003	Wall Of Tough Guys	uua1Z7d5L
01	07	2003	A Dude's Stew	uua1TG98s
01	08	2003	Philippe is Fat	uuaclFdGq
01	09	2003	The Devil's Drink Book	uua7KcJ7M
01	10	2003	Hi Grandma!	uuacZ8rzS
01	13	2003	Fancy French Restaurant	uua62dtM9
01	14	2003	Rockford Fosgate	uua8Jnzp4
01	16	2003	Goodbye Showbiz	uuacQfvrd
01	17	2003	Jared Is Not Tough	uua6KWWFr
01	21	2003	How Else Can Jared Die	uua2Drkx9
01	22	2003	Slim Jim	uua72Cwpp
01	23	2003	Disguises	uua4mcwtG
01	27	2003	Notorious L.I.N.C.O.L.N.	uua30HTxr
01	28	2003	Motel Hangover	uuacb99lB
01	29	2003	Blue Nun Widemouths	uuab7m81b
01	30	2003	Turd Murder	uua2ct83P
01	31	2003	Hangover Therapy	uua2Xgk6m
02	04	2003	Asleep Style	uua8NKGxs
02	05	2003	Salad Dressing Chandelier	uua7ZKtTN
02	06	2003	Some Subway Would Punish	uuab23xx2
02	07	2003	Six Kinds of Nasty	uua503G8S
02	10	2003	Cookbook Preview	uua5rj1rj
02	11	2003	Arms and Backs	uuadPx3P1
02	13	2003	Pat's Message Board	uua1RtgFw
02	14	2003	Pat and Daedalus_X	uuadNJCtf
02	17	2003	Death Limo	uuafmwKhM
02	18	2003	T&eacute;odor's Boat	uuacctBXc
02	19	2003	Socks In The Bed	uuadH7sXQ
02	20	2003	Klansman Subway	uuad5MrrV
02	21	2003	Matchstick Doodie	uua3TC0Qz
02	24	2003	Death Boat	uua3JNKTf
02	25	2003	Ku Klux Messagebard	uua12BXzl
02	26	2003	Stolen Boat	uuadNtGM6
02	27	2003	Todd's Taxes	uuac1f8G3
03	03	2003	Howardt Stern Show	uua6JKlTl
03	04	2003	Pat's Anger	uuac6Jjwj
03	05	2003	Roast Beef in Heaven	uua6WfWBR
03	06	2003	Lung Brothers	uua2JmVXX
03	07	2003	Drunk in Heaven	uua2nQF3S
03	10	2003	Dance Java Dance	uua3ClBcp
03	11	2003	Will You Be My Girlfriend Molly	uuag8FLKV
03	12	2003	Dinner Date	uuaWvH6Bk
03	13	2003	Rooster Bake	uua9Bm169
03	14	2003	Roasted-up Ding Dong	uua1rwrbP
03	17	2003	The Jade Ding Dong	uua72vf2R
03	18	2003	The Six Hundred Dollar Man	uua492nRJ
03	19	2003	Roast Beef's First Kiss	uuab9k0Qq
03	20	2003	The Marlboro Stinger	uua2717Js
03	21	2003	Receipt From Heaven	uua5p1qBw
03	24	2003	Guest artist: James Kochalka	uuabhg7b4
03	25	2003	Guest artist: K. Thor Jensen	uua2B5Pk2
03	26	2003	Guest artist: Sam Henderson	uua7VBrVT
03	27	2003	Guest artist: Jeff Rowland	uua1qckZH
03	28	2003	Guest artist: John Allison	uuabLRD6q
03	31	2003	Guest artist: Drew Weing	uuammKLfl
04	01	2003	Guest Artist: drew	uua2fM9MX
04	02	2003	Guest Artist: Anonymous	uuacLg33T
04	03	2003	Nice Pete	uuaZr43xZ
04	04	2003	What are you in for Nice Pete	uua1pvCP2
04	07	2003	Nice Pete's Raisin Schnapps	uua5pwXSz
04	08	2003	Murder, Explained	uua9j49fl
04	09	2003	Killing is Like Basketball	uua6XZtv6
04	10	2003	Visitation Hours	uua6gmWrQ
04	14	2003	The First Piece of Porno	uuacr608g
04	15	2003	The Devils of Monte Carlo	uua2Jqb5Q
04	16	2003	Gilmore Girls	uua2cPFVp
04	17	2003	Nice Pete Figures Ray Out	uua7qtb7k
04	18	2003	Vlad Figures Pat Out	uuadd67PP
04	23	2003	The Mile High Club	uua5hdL6Z
04	24	2003	Mantonio	uua1g9kDk
04	25	2003	Wetting The Bed Forever	uua36M5hV
04	28	2003	Philippe's Prayers	uua1cwrmf
04	29	2003	Mehr Deutsch	uuak55Wvw
04	30	2003	Doin' the Robot	uua2HbqrD
05	02	2003	Fuck Algebra	uua8D62nM
05	05	2003	Baby Just Come Clean	uua24cDtf
05	06	2003	His Bozack is Flayed	uua3Ct511
05	07	2003	Rhymedown 2003	uua1VxdS0
05	08	2003	Ten Million Kids In Fedoras	uua514JXP
05	09	2003	Chompin' Mignon on Bellagio Lake	uua8q798z
05	12	2003	We TALKED about this!	uua6CkRBd
05	13	2003	Oregon Tail	uuaBBTGD7
05	14	2003	Hiram the Blacksmith	uua295J5Z
05	16	2003	Lyle and Hiram	uua8kNVK7
05	19	2003	Hiram's Codebase	uuadKqrrt
05	20	2003	Marmaduke	uuadKv5Hm
05	22	2003	Laying into Garfield	uua8nNh52
05	23	2003	Cathy	uua9KMWXW
05	26	2003	Scary Go Round guest strip	uuafJFX7C
05	27	2003	The Dachshund Whisperer	uua7ldnL4
05	28	2003	Suckin' Dick - rerun	uuadxnhfg
05	29	2003	Recipe of the Month Club	uua8V540N
05	30	2003	A re-run: Lie Bot's Ass	uua4Kk4MD
06	02	2003	Lie Bot: Saddest Thing: redux	uua9k2jPb
06	03	2003	Hyddyn Sceptyre	uua7C10Jk
06	04	2003	Wednesday Repeat: November 15, 2002	uuacgBVVK
06	05	2003	Mr. Bear's Blog	uua2PmJrR
06	06	2003	If It's Yellow Let it Mellow	uua9zdGJl
06	09	2003	Ray's Rolex	uua8blhSG
06	10	2003	Garrison Keillor / Tony Robbins	uuadptjNd
06	11	2003	Repeat of January 30, 2003	uuaN2GNpf
06	12	2003	A Frank Conversation on Pornography.	uua5ccNGk
06	13	2003	I take the birthday off.	uuadmLpcQ
06	16	2003	Beef Missed My Birthday	uua6nCtzM
06	17	2003	Beef's Green Card Wedding	uuadwk5P4
06	19	2003	Angry Little Plum	uuad6mpVw
06	20	2003	Nightlife Mingus	uua291klJ
06	23	2003	Golfing With Nightlife	uua1Kz92N
06	24	2003	Beef Smokes Weed	uua247DGJ
06	26	2003	Beef is high, steals golf cart	uua9PrSBk
06	27	2003	runaway golf cart	uua7RxhKr
06	30	2003	Molly McSweeney	uuafqP6nD
07	01	2003	Artificial Japanese Liver	uuafphc4v
07	03	2003	Long Condoms	uuafbjmXM
07	04	2003	European Vacation 1	uuad8NfWP
07	07	2003	Uses for a Large Condom	uua7TdHV8
07	08	2003	Martha Stewart's condom tips	uua9xTTZF
07	10	2003	Philippe / Mozart / Honey Peanuts	uua8BwkCT
07	11	2003	Teodor's New Dance Move	uua9dqnnX
07	14	2003	Lyle Wins Oasis	uua6XDm02
07	15	2003	Oasis Is Working In The Yard	uua8lg25Q
07	17	2003	Philippe at Berlin McDonald's	uuab9gDLk
07	18	2003	Oasis In The Shower	uua9fgD1P
07	21	2003	Ray Quits The Advice Biz	uuafnR71p
07	22	2003	Ray Rhymes About the Internet	uua9GbMlM
07	24	2003	Ray's Advice Column - LIVE!	uuag90b9b
07	28	2003	Straight Eye for the Beef Guy	uuadwtZkd
07	30	2003	Beef Tshirt Expose Etc	uua4hgDWf
08	01	2003	Hair In Ray's Nachos	uua1WZcfr
08	04	2003	beef makeover tshirt etc	uua7xvgZP
08	06	2003	Vlad and Roast Beef's Window	uua3BXk9j
08	11	2003	Beef's Microsoft Word Ad	uua4xPGCP
08	13	2003	Weezer / iMac	uua7R4CJ3
08	14	2003	Neapolitan Shooter Teaser	uua2D32Jr
08	15	2003	The Dick Molecule	uua9TK2Lz
08	18	2003	Beef's "Me" Day	uuaPJL0gl
08	20	2003	Ray's Time Machine.	uua3GV1G0
08	21	2003	Santa's Dad	uua8Kr3cZ
08	22	2003	Dressing Like Twain	uua1ScpVv
08	25	2003	Spring Loaded Wooden Dog	uua1t4zp0
08	26	2003	Cornelius Bear's Diary Entry	uua6ZvcTg
08	27	2003	The Trouble With Ray's Entertainment Center	uua7GWdgS
08	28	2003	The Dumbwaiter Redux	uua6w6lJ0
08	29	2003	The Unwilling Voyeur	uuafNMldv
09	02	2003	Beef the Cocaine Genius	uua6hlQG4
09	03	2003	The Taint is often called the Impossible Mile	uuac88m11
09	04	2003	Mark Twain and James Bond	uua4TQZ2C
09	09	2003	Your Porno Name	uua3fGzhz
09	10	2003	Ketel One, Eminem, Twain Invents the Internet	uua51vGhP
09	11	2003	Coming Home / Clues	uua1JDg8j
09	12	2003	Hot Lunches	uuacRplRC
09	15	2003	Carl: A Fallen Friend	uuaBcxxBM
09	16	2003	Anarchist's Cookbook	uuaStMZ2k
09	17	2003	Kmart, Lyle, and Viet Nam	uuac9Zw6T
09	18	2003	Don't Thank Me, Thank Anarchy	uuaf2t8Qk
09	19	2003	Electrocuting Pat's Dick	uua29GpxH
09	22	2003	Pat's Dick is Electrocuted	uua7nWd6s
09	23	2003	Pat's Answering Machine	uuapmpgnS
09	24	2003	Nice Pat	uua1WVvt6
09	25	2003	Hollandaise the Bunny	uuaLHfdG6
09	26	2003	Pat Guthrie	uuadqNttk
09	29	2003	Pat's Stadium Event / The Sexual Homeboys	uua58XLX8
09	30	2003	Calling D'Shawn	uuadTpthr
10	01	2003	Second Anniversary	uua5TS9l1
10	02	2003	Vegetable Brain the Comedian	uuafk87ns
10	03	2003	Joy Buzzer	uuaQFFVNz
10	06	2003	Day Tripper Intro	uua61HtPP
10	07	2003	Animalicious	uua9RS9kg
10	08	2003	Animalicious on Acid	uua6k0gWF
10	09	2003	Pat's Back	uuaS97xmp
10	10	2003	Lore Day One	uua3G0TG5
10	13	2003	Beef's Dream of Corpulence	uua7fLcJV
10	14	2003	Little Nephew's Hip-Hop Pants	uua42f2L1
10	15	2003	Laszlo's Open Mic / Roast Beef	uua4MZ0jv
10	16	2003	Beef's Internet is Down	uuafMNmbC
10	17	2003	Chicken Allergy / Bubble Boy	uuafnX6RC
10	20	2003	The puberty machine has soft rubber heads	uua75HsnF
10	21	2003	The Eye Beneath the Nacho	uuacgJV5N
10	22	2003	Nice Pete's PowerPoint Presentation	uuafxZwNQ
10	23	2003	Human Foot in a Salad (w/Champion Short Sock)	uua2QSWlw
10	24	2003	Nice Pete's Joke	uua16Rdvt
10	27	2003	Mom-mom had a big old weepin' eye that never closed	uua1HXkth
10	28	2003	Japanese Interests	uua5wDDSK
10	29	2003	T&eacute;odor's father	uua1lvPnn
10	30	2003	Oh No I Grew Pubics	uuadWdbf7
10	31	2003	Philippe Bumble-Bee Boo	uua4R5ZBm
11	03	2003	Super-Secret Ice Cream Parlor	uuafrGtQK
11	04	2003	Mini Cooper / Laphroaig	uuadRP5Rb
11	05	2003	Arthur from Support Group	uua7ct39q
11	06	2003	On the way to the Secret Ice Cream Parlor	uuafrhwkN
11	07	2003	Drip Drop Drip Drop	uua5WBDBg
11	10	2003	Threadville	uua2540Kq
11	11	2003	Nice Pete's Lullaby	uua5bXm7D
11	12	2003	Inside the Super-Secret Ice Cream Shop	uuabmzCHQ
11	13	2003	Gelati	uua34zz8N
11	14	2003	Escape from the ice cream shop	uua6wSqMZ
11	17	2003	Philippe's Escape	uua49Mhfn
11	18	2003	Omega Tetris	uuad4vcfD
11	21	2003	Deer in the Headlights	uua66315S
11	24	2003	BLAM	uua4zlJCB
11	25	2003	Tori Amos	uua8fvJRZ
12	01	2003	Hell's Car: Subaru Brat	uua4gHd9n
12	02	2003	The Lonesomest Car in Hell	uua7xlqCM
12	03	2003	Robert Johnson at the Best Western in Hell	uua1d26PQ
12	04	2003	Brookside Lounge, Best Western, Hell	uua1m3mPS
12	05	2003	Robert Johnson Ocular Shenanigans	uuab768gv
12	08	2003	Drunk As a Lord in Hell	uua5m7q9z
12	09	2003	Talking Wallpaper	uuafrt18J
12	10	2003	Butterball Hotline	uuab6Thjp
12	11	2003	Butterball Hell Line	uuacGB3h7
12	12	2003	Beef and the Hell Phone	uua45jQzt
12	15	2003	Philippe Buys Piano Music!	uua6r0ncp
12	16	2003	Beef Finds Ray in Hell	uua7F9ghR
12	17	2003	There is Balm in Gilead	uua8K33nK
12	18	2003	Shut the hell up *dick*	uua6CX6p3
12	19	2003	Denise Are You Crappin'	uua1Khpq1
12	22	2003	Meeting Todd in Hell	uua4NTc40
12	23	2003	Friendly's Hell Riddle	uua1v1z3r
12	24	2003	Christmas Eve with Ray redux	uua67tMD1
12	25	2003	guest strip: John Allison / scarygoround.com	uuac7nRp4
12	26	2003	Guest Strip by Andrice Arp / www.hi-horse.com	uua3f8XXN
12	29	2003	Guest Strip by Jesse Reklaw	uua4667Kx
12	30	2003	Guest Strip by Jeff Rowland / Wigu.com	uua7twB0K
12	31	2003	Guest Strip by K. Thor Jensen	uuadJKPv4
01	01	2004	Guest Strip: Jeff Roysdon	uua8VPh0x
01	02	2004	Guest strip by Drew Weing	uuac8LhKT
01	05	2004	Keep on Rockin' Roast Beef	uua3tbzpH
01	06	2004	Three Riddles Home From Hell	uua4L98wb
